Languages,P
Brasiliano,0.01904762
Colombiano,0.01904762
Cubano,0.01904762
Egiziano,0.01904762
Israeliano,0.01904762
Italiano,0.40000000
Inglese,0.10000000
Lituano,0.01904762
Messicano,0.01904762
Pakistano,0.01904762
Venezuelano,0.01904762
Canadese,0.01904762
Cinese,0.01904762
Danese,0.019047620
Finlandese,0.01904762
Francese,0.05000000
Irlandese,0.01904762
Tedesco,0.05000000
Norvegese,0.01904762
Portoghese,0.01904762
Argentino,0.01904762
Tunisino,0.01904762
Statunitense,0.01904762
Russo,0.01904762
Turco,0.01904762